dataset,model,method,method_display,video_idx,deletion_auc,insertion_auc,avg_drop,pointing_game,iou50,iou_value
EtriActivity3D,TANet,LV-LOCO-NEW,LV-LOCO,17,0.17062155136708493,0.8157898359234441,8.25437953940575,1.0,0.0,0.45767216578626574
EtriActivity3D,TANet,LV-LOCO-NEW,LV-LOCO,18,0.3021030512659423,0.7627476489408966,71.37470866951789,0.0,0.0,0.2818634853183721
EtriActivity3D,TANet,LV-LOCO-NEW,LV-LOCO,19,0.8152852727304662,0.42598227889274365,84.2832089476394,0.0,0.0,0.18900006567685113
EtriActivity3D,TANet,LV-LOCO-NEW,LV-LOCO,20,0.13193065681543742,0.9122589677506077,76.79190871860028,1.0,1.0,0.5463479796243916
EtriActivity3D,TANet,LV-LOCO-NEW,LV-LOCO,21,0.153309689584216,0.9469053054932554,21.400435275820733,1.0,0.0,0.4755759546188917
EtriActivity3D,TANet,LV-LOCO-NEW,LV-LOCO,22,0.2889572637756682,0.47876371526563377,0.0,1.0,0.0,0.26494779205845803
EtriActivity3D,TANet,LV-LOCO-NEW,LV-LOCO,23,0.14292902846841773,0.9522581073107712,97.17506279847346,0.0,0.0,0.2983257902832039
EtriActivity3D,TANet,LV-LOCO-NEW,LV-LOCO,24,0.09513560191722381,0.9384256297221111,96.21884390269766,1.0,0.0,0.20538143069018114
EtriActivity3D,TANet,LV-LOCO-NEW,LV-LOCO,25,0.23231249417662989,0.940207969760722,0.0793337869247071,0.0,0.0,0.41529363842954536
EtriActivity3D,TANet,LV-LOCO-NEW,LV-LOCO,26,0.3025840426359817,0.7584572777762597,99.86534328640226,0.0,0.0,0.034488262548960556
EtriActivity3D,TANet,LV-LOCO-NEW,LV-LOCO,27,0.08019082026074083,0.9121239553486162,0.0,1.0,1.0,0.7809523339431991
EtriActivity3D,TANet,LV-LOCO-NEW,LV-LOCO,28,0.5174003737841034,0.4868745831987477,96.36967182159424,0.0,0.0,0.06339703433510427
EtriActivity3D,TANet,LV-LOCO-NEW,LV-LOCO,29,0.14865289770632445,0.9206976019725499,99.27341746761888,1.0,1.0,0.5435370385010673
EtriActivity3D,TANet,LV-Univ-Pred-NEW,LV-Univ-Pred,0,0.4684628217662448,0.7073045678181868,99.9988615474848,0.0,0.0,0.44819937669493826
EtriActivity3D,TANet,LV-Univ-Pred-NEW,LV-Univ-Pred,1,0.6909244659842181,0.33555651885377197,99.61991802642059,0.0,0.0,0.0
EtriActivity3D,TANet,LV-Univ-Pred-NEW,LV-Univ-Pred,2,0.0487119141421772,0.794753247077972,99.59492322812426,0.0,0.0,0.3406326604632548
EtriActivity3D,TANet,LV-Univ-Pred-NEW,LV-Univ-Pred,3,0.12917685301175727,0.47656220051150383,45.025218613813145,1.0,0.0,0.3099339513691628
EtriActivity3D,TANet,LV-Univ-Pred-NEW,LV-Univ-Pred,4,0.13689356695691218,0.9126647527726605,4.9058720837665675,0.0,0.0,0.02286366429637433
EtriActivity3D,TANet,LV-Univ-Pred-NEW,LV-Univ-Pred,5,0.252819127859269,0.39972575600589666,99.92777344221027,0.0,0.0,0.029201473728546812
EtriActivity3D,TANet,LV-Univ-Pred-NEW,LV-Univ-Pred,6,0.5885627746555494,0.2694495324017288,99.99864234920798,0.0,0.0,0.039572924525751584
