dataset,model,method,method_display,video_class,video_name,bbox_energy_ratio,temporal_consistency,sparsity_80
EtriActivity3D,TANet,SaliencyTubes,SaliencyTubes,18,A019_P015_G002_C008.mp4,0.3679613769054413,0.9581947326660156,0.6041015625
EtriActivity3D,TANet,AOSA,AOSA,18,A019_P015_G002_C008.mp4,0.3342035710811615,0.9660404324531555,0.2831012613378685
EtriActivity3D,TANet,GradCAM,GradCAM,18,A019_P015_G002_C008.mp4,0.7216786742210388,0.906771719455719,0.07799479166666666
EtriActivity3D,TANet,3D-Kernel-SHAP-NEW,3D-Kernel-SHAP,20,A021_P066_G004_C008.mp4,0.47219234704971313,0.9881590008735657,0.09403934478759765
EtriActivity3D,TANet,3D-LIME-NEW,3D-LIME,20,A021_P066_G004_C008.mp4,0.19101685285568237,0.9965029358863831,0.6270977020263672
EtriActivity3D,TANet,3D-RISE-NEW,3D-RISE,20,A021_P066_G004_C008.mp4,0.14159667491912842,0.401113361120224,0.6428571428571429
EtriActivity3D,TANet,3D-Sampled-Occl-Sens-NEW,3D-Sampled-Occl-Sens,20,A021_P066_G004_C008.mp4,0.0002924831642303616,0.4144975244998932,0.0031397174254317113
EtriActivity3D,TANet,LV-LOCO-NEW,LV-LOCO,20,A021_P066_G004_C008.mp4,1.0,0.9804689288139343,0.0038190841674804687
EtriActivity3D,TANet,LV-Univ-Pred-NEW,LV-Univ-Pred,20,A021_P066_G004_C008.mp4,0.17954722046852112,0.9957696199417114,0.7673498153686523
EtriActivity3D,TANet,SaliencyTubes,SaliencyTubes,20,A021_P066_G004_C008.mp4,0.5373333692550659,0.996258020401001,0.10169270833333334
EtriActivity3D,TANet,AOSA,AOSA,20,A021_P066_G004_C008.mp4,0.7646588087081909,0.9913793802261353,0.0602954523155416
EtriActivity3D,TANet,GradCAM,GradCAM,20,A021_P066_G004_C008.mp4,0.0,0.851908802986145,0.09694010416666667
EtriActivity3D,TANet,3D-Kernel-SHAP-NEW,3D-Kernel-SHAP,22,A023_P072_G001_C007.mp4,0.18665283918380737,0.9617326855659485,0.725161361694336
EtriActivity3D,TANet,3D-LIME-NEW,3D-LIME,22,A023_P072_G001_C007.mp4,0.17706193029880524,0.9718786478042603,0.6121513366699218
EtriActivity3D,TANet,3D-RISE-NEW,3D-RISE,22,A023_P072_G001_C007.mp4,0.14986588060855865,0.32201144099235535,0.6683673469387755
EtriActivity3D,TANet,3D-Sampled-Occl-Sens-NEW,3D-Sampled-Occl-Sens,22,A023_P072_G001_C007.mp4,0.0833333358168602,0.406909704208374,0.02040816326530612
EtriActivity3D,TANet,LV-LOCO-NEW,LV-LOCO,22,A023_P072_G001_C007.mp4,0.20696523785591125,0.948722243309021,0.030885887145996094
EtriActivity3D,TANet,LV-Univ-Pred-NEW,LV-Univ-Pred,22,A023_P072_G001_C007.mp4,0.12914790213108063,0.9726752042770386,0.6971158981323242
EtriActivity3D,TANet,SaliencyTubes,SaliencyTubes,22,A023_P072_G001_C007.mp4,0.21264277398586273,0.9818629622459412,0.2146484375
