Metric,Dataset,Rank,Method,Mean,Median,N,Best,Worst
iou_value,Kinetics400,1.0,LV-LOCO,0.33598631211848823,0.2610652523076959,30,True,False
iou_value,Kinetics400,2.0,SaliencyTubes,0.3348603473529964,0.2978934872302167,30,False,False
iou_value,Kinetics400,3.0,3D-RISE,0.3315837975336994,0.21941242955606244,30,False,False
iou_value,Kinetics400,4.0,3D-Sampled-Occl-Sens,0.33045922370574216,0.21794289937866354,30,False,False
iou_value,Kinetics400,5.0,3D-Kernel-SHAP,0.3300201309577745,0.261469185225275,30,False,False
iou_value,Kinetics400,6.0,GradCAM,0.329571113145371,0.29726165256922066,30,False,False
iou_value,Kinetics400,7.0,3D-LIME,0.3288685176813952,0.21941242955606244,30,False,False
iou_value,Kinetics400,8.0,AOSA,0.32867588420680455,0.21941242955606244,30,False,False
iou_value,Kinetics400,9.0,LV-Univ-Pred,0.31912864762285953,0.2163238813804494,30,False,True
iou_value,Overall,1.0,LV-LOCO,0.3266455981784053,0.28531231133250134,60,True,False
iou_value,Overall,2.0,3D-LIME,0.3172555182236779,0.2472690930328223,60,False,False
iou_value,Overall,3.0,3D-Kernel-SHAP,0.30220479403784045,0.2391839769905302,60,False,False
iou_value,Overall,4.0,SaliencyTubes,0.29970987410378047,0.28034950755731003,60,False,False
iou_value,Overall,5.0,LV-Univ-Pred,0.28658652348468255,0.2163238813804494,60,False,False
iou_value,Overall,6.0,GradCAM,0.2821492869264901,0.2722999883656695,60,False,False
iou_value,Overall,7.0,3D-RISE,0.2812207412890818,0.21941242955606244,60,False,False
iou_value,Overall,8.0,AOSA,0.2645987977528351,0.20591899100321004,60,False,False
iou_value,Overall,9.0,3D-Sampled-Occl-Sens,0.22702226197441217,0.16227335640138404,60,False,True
pointing_game,EtriActivity3D,1.0,3D-LIME,0.8,1.0,30,True,False
pointing_game,EtriActivity3D,2.5,3D-Kernel-SHAP,0.7,1.0,30,False,False
pointing_game,EtriActivity3D,2.5,3D-RISE,0.7,1.0,30,False,False
pointing_game,EtriActivity3D,4.0,3D-Sampled-Occl-Sens,0.6333333333333333,1.0,30,False,False
pointing_game,EtriActivity3D,5.0,LV-LOCO,0.6,1.0,30,False,False
pointing_game,EtriActivity3D,6.5,LV-Univ-Pred,0.4666666666666667,0.0,30,False,False
pointing_game,EtriActivity3D,6.5,SaliencyTubes,0.4666666666666667,0.0,30,False,False
pointing_game,EtriActivity3D,8.0,AOSA,0.43333333333333335,0.0,30,False,False
pointing_game,EtriActivity3D,9.0,GradCAM,0.4,0.0,30,False,True
pointing_game,Kinetics400,1.0,3D-LIME,0.5666666666666667,1.0,30,True,False
