dataset,model,method,video_class,video_name,sensitivity_n,random_correlation,reversed_correlation,n,n_subsets,seed
EtriActivity3D,TANet,3D-RISE-NEW,18,A019_P015_G002_C008.mp4,0.32932721306936463,0.17809124783951627,-0.3293272130693646,10,100,777
EtriActivity3D,TANet,3D-Sampled-Occl-Sens-NEW,18,A019_P015_G002_C008.mp4,0.09067936356513549,0.17809124783951627,-0.09067936356513549,10,100,777
EtriActivity3D,TANet,LV-LOCO-NEW,18,A019_P015_G002_C008.mp4,0.5132407003827498,0.03926568565897434,-0.5132407003827498,10,100,777
EtriActivity3D,TANet,LV-Univ-Pred-NEW,18,A019_P015_G002_C008.mp4,0.2863588730790634,0.03926568565897434,-0.2863588730790632,10,100,777
EtriActivity3D,TANet,SaliencyTubes,18,A019_P015_G002_C008.mp4,-0.006863517821779847,0.17809124783951627,0.00686351782177985,10,100,777
EtriActivity3D,TANet,AOSA,18,A019_P015_G002_C008.mp4,0.07123656316415271,0.17809124783951627,-0.07123656316415271,10,100,777
EtriActivity3D,TANet,GradCAM,18,A019_P015_G002_C008.mp4,0.07575373466255596,0.17809124783951627,-0.07575373466255596,10,100,777
EtriActivity3D,TANet,3D-Kernel-SHAP-NEW,20,A021_P066_G004_C008.mp4,0.38540637706973624,0.10890227862351308,-0.3854063770697362,10,100,777
EtriActivity3D,TANet,3D-LIME-NEW,20,A021_P066_G004_C008.mp4,0.3133363417992338,0.10890227862351308,-0.3133363417992337,10,100,777
EtriActivity3D,TANet,3D-RISE-NEW,20,A021_P066_G004_C008.mp4,0.3034089139509647,-0.11335340182303787,-0.30340891395096464,10,100,777
EtriActivity3D,TANet,3D-Sampled-Occl-Sens-NEW,20,A021_P066_G004_C008.mp4,-0.047259452284965656,-0.11335340182303787,0.04725945228496565,10,100,777
EtriActivity3D,TANet,LV-LOCO-NEW,20,A021_P066_G004_C008.mp4,0.4922960537380661,0.10890227862351308,-0.49229605373806656,10,100,777
EtriActivity3D,TANet,LV-Univ-Pred-NEW,20,A021_P066_G004_C008.mp4,0.25940057428869007,0.10890227862351308,-0.25940057428869007,10,100,777
EtriActivity3D,TANet,SaliencyTubes,20,A021_P066_G004_C008.mp4,0.16095192014887869,-0.11335340182303787,-0.1609519201488787,10,100,777
EtriActivity3D,TANet,AOSA,20,A021_P066_G004_C008.mp4,0.25435182927296063,-0.11335340182303787,-0.25435182927296063,10,100,777
EtriActivity3D,TANet,GradCAM,20,A021_P066_G004_C008.mp4,-0.24400251780458343,-0.11335340182303787,0.2440025178045834,10,100,777
EtriActivity3D,TANet,3D-Kernel-SHAP-NEW,22,A023_P072_G001_C007.mp4,0.073025503913794,0.017591822341072542,-0.073025503913794,10,100,777
EtriActivity3D,TANet,3D-LIME-NEW,22,A023_P072_G001_C007.mp4,0.15996745303567386,0.017591822341072542,-0.15996745303567386,10,100,777
EtriActivity3D,TANet,3D-RISE-NEW,22,A023_P072_G001_C007.mp4,0.22314356540988825,0.006813986936998679,-0.22314356540988825,10,100,777
EtriActivity3D,TANet,3D-Sampled-Occl-Sens-NEW,22,A023_P072_G001_C007.mp4,-0.030167550055033507,0.006813986936998679,0.03016755005503351,10,100,777
EtriActivity3D,TANet,LV-LOCO-NEW,22,A023_P072_G001_C007.mp4,0.3079227140678163,0.017591822341072542,-0.30792271406781613,10,100,777
EtriActivity3D,TANet,LV-Univ-Pred-NEW,22,A023_P072_G001_C007.mp4,0.2078343091580045,0.017591822341072542,-0.20783430915800444,10,100,777
EtriActivity3D,TANet,SaliencyTubes,22,A023_P072_G001_C007.mp4,0.20435992670721287,0.006813986936998679,-0.20435992670721292,10,100,777
EtriActivity3D,TANet,AOSA,22,A023_P072_G001_C007.mp4,0.17050165249857693,0.006813986936998679,-0.17050165249857693,10,100,777
EtriActivity3D,TANet,GradCAM,22,A023_P072_G001_C007.mp4,-0.028096199300955478,0.006813986936998679,0.0280961993009555,10,100,777
EtriActivity3D,TANet,3D-Kernel-SHAP-NEW,25,A026_P032_G002_C008.mp4,0.28199432575737415,0.04311413337567445,-0.2819943257573742,10,100,777
EtriActivity3D,TANet,3D-LIME-NEW,25,A026_P032_G002_C008.mp4,0.2254775092787783,0.04311413337567445,-0.22547750927877822,10,100,777
EtriActivity3D,TANet,3D-RISE-NEW,25,A026_P032_G002_C008.mp4,0.33902691062038537,-0.10668308956458145,-0.33902691062038537,10,100,777
EtriActivity3D,TANet,3D-Sampled-Occl-Sens-NEW,25,A026_P032_G002_C008.mp4,-0.005089435182333466,-0.10668308956458145,0.005089435182333439,10,100,777
EtriActivity3D,TANet,LV-LOCO-NEW,25,A026_P032_G002_C008.mp4,0.39050472102333633,0.04311413337567445,-0.3905047210233361,10,100,777
EtriActivity3D,TANet,LV-Univ-Pred-NEW,25,A026_P032_G002_C008.mp4,-0.0751493465843438,0.04311413337567445,0.07514934658434382,10,100,777
EtriActivity3D,TANet,SaliencyTubes,25,A026_P032_G002_C008.mp4,0.1891137440033494,-0.10668308956458145,-0.18911374400334943,10,100,777
EtriActivity3D,TANet,AOSA,25,A026_P032_G002_C008.mp4,0.2771394016378035,-0.10668308956458145,-0.27713940163780354,10,100,777
EtriActivity3D,TANet,GradCAM,25,A026_P032_G002_C008.mp4,0.2681435834004639,-0.10668308956458145,-0.268143583400464,10,100,777
EtriActivity3D,TANet,3D-Kernel-SHAP-NEW,26,A027_P004_G001_C006.mp4,0.4151534018078774,0.08509437743980791,-0.41515340180787735,10,100,777
EtriActivity3D,TANet,3D-LIME-NEW,26,A027_P004_G001_C006.mp4,0.584085679387582,0.08509437743980791,-0.5840856793875823,10,100,777
EtriActivity3D,TANet,3D-RISE-NEW,26,A027_P004_G001_C006.mp4,0.05217259446127884,0.02354382965989543,-0.05217259446127887,10,100,777
EtriActivity3D,TANet,3D-Sampled-Occl-Sens-NEW,26,A027_P004_G001_C006.mp4,0.35241004935191905,0.02354382965989543,-0.35241004935191916,10,100,777
EtriActivity3D,TANet,LV-LOCO-NEW,26,A027_P004_G001_C006.mp4,0.871173435963839,0.08509437743980791,-0.8711734359638386,10,100,777
EtriActivity3D,TANet,LV-Univ-Pred-NEW,26,A027_P004_G001_C006.mp4,-0.04438149979047898,0.08509437743980791,0.044381499790478986,10,100,777
EtriActivity3D,TANet,SaliencyTubes,26,A027_P004_G001_C006.mp4,0.07515513637607399,0.02354382965989543,-0.07515513637607399,10,100,777
EtriActivity3D,TANet,AOSA,26,A027_P004_G001_C006.mp4,-0.12881115148484287,0.02354382965989543,0.12881115148484287,10,100,777
EtriActivity3D,TANet,GradCAM,26,A027_P004_G001_C006.mp4,0.17682077694388598,0.02354382965989543,-0.17682077694388607,10,100,777
EtriActivity3D,TANet,3D-Kernel-SHAP-NEW,3,A004_P046_G003_C005.mp4,0.4936775033314553,-0.1242184524740033,-0.4936775033314553,10,100,777
EtriActivity3D,TANet,3D-LIME-NEW,3,A004_P046_G003_C005.mp4,0.7360163095997996,-0.1242184524740033,-0.7360163095997997,10,100,777
EtriActivity3D,TANet,3D-RISE-NEW,3,A004_P046_G003_C005.mp4,0.6089237992850234,0.09435271280040934,-0.6089237992850234,10,100,777
EtriActivity3D,TANet,3D-Sampled-Occl-Sens-NEW,3,A004_P046_G003_C005.mp4,-0.13313285285400084,0.09435271280040934,0.13313285285400084,10,100,777
EtriActivity3D,TANet,LV-LOCO-NEW,3,A004_P046_G003_C005.mp4,0.718302161365086,-0.1242184524740033,-0.7183021613650858,10,100,777
EtriActivity3D,TANet,LV-Univ-Pred-NEW,3,A004_P046_G003_C005.mp4,0.1287491045208361,-0.1242184524740033,-0.12874910452083613,10,100,777
EtriActivity3D,TANet,SaliencyTubes,3,A004_P046_G003_C005.mp4,0.4554327063778345,0.09435271280040934,-0.4554327063778345,10,100,777
EtriActivity3D,TANet,AOSA,3,A004_P046_G003_C005.mp4,-0.6044880705954881,0.09435271280040934,0.6044880705954881,10,100,777
EtriActivity3D,TANet,GradCAM,3,A004_P046_G003_C005.mp4,0.5336038603123585,0.09435271280040934,-0.5336038603123586,10,100,777
EtriActivity3D,TANet,3D-Kernel-SHAP-NEW,31,A032_P020_G001_C004.mp4,0.7055618367791782,-0.02734494612224712,-0.7055618367791784,10,100,777
EtriActivity3D,TANet,3D-LIME-NEW,31,A032_P020_G001_C004.mp4,0.5767902985771505,-0.02734494612224712,-0.5767902985771507,10,100,777
EtriActivity3D,TANet,3D-RISE-NEW,31,A032_P020_G001_C004.mp4,-0.2511653794995727,-0.0037176548299020836,0.2511653794995727,10,100,777
EtriActivity3D,TANet,3D-Sampled-Occl-Sens-NEW,31,A032_P020_G001_C004.mp4,0.0967209856500327,-0.0037176548299020836,-0.0967209856500327,10,100,777
EtriActivity3D,TANet,LV-LOCO-NEW,31,A032_P020_G001_C004.mp4,0.5092848448701729,-0.02734494612224712,-0.5092848448701731,10,100,777
EtriActivity3D,TANet,LV-Univ-Pred-NEW,31,A032_P020_G001_C004.mp4,-0.014768073724606435,-0.02734494612224712,0.014768073724606437,10,100,777
EtriActivity3D,TANet,SaliencyTubes,31,A032_P020_G001_C004.mp4,-0.11851392230163628,-0.0037176548299020836,0.11851392230163635,10,100,777
EtriActivity3D,TANet,AOSA,31,A032_P020_G001_C004.mp4,-0.2765040873915278,-0.0037176548299020836,0.276504087391528,10,100,777
EtriActivity3D,TANet,GradCAM,31,A032_P020_G001_C004.mp4,-0.16560050835401016,-0.0037176548299020836,0.1656005083540102,10,100,777
EtriActivity3D,TANet,3D-Kernel-SHAP-NEW,40,A041_P082_G001_C007.mp4,0.3398853194162414,-0.0022491139487278754,-0.33988531941624134,10,100,777
EtriActivity3D,TANet,3D-LIME-NEW,40,A041_P082_G001_C007.mp4,0.2504286938488528,-0.0022491139487278754,-0.25042869384885286,10,100,777
EtriActivity3D,TANet,3D-RISE-NEW,40,A041_P082_G001_C007.mp4,-0.011914120398233464,-0.12529431580859687,0.011914120398233466,10,100,777
EtriActivity3D,TANet,3D-Sampled-Occl-Sens-NEW,40,A041_P082_G001_C007.mp4,0.24609662736061252,-0.12529431580859687,-0.24609662736061252,10,100,777
EtriActivity3D,TANet,LV-LOCO-NEW,40,A041_P082_G001_C007.mp4,0.5659767172493523,-0.0022491139487278754,-0.5659767172493525,10,100,777
EtriActivity3D,TANet,LV-Univ-Pred-NEW,40,A041_P082_G001_C007.mp4,0.0687376364162932,-0.0022491139487278754,-0.06873763641629321,10,100,777
EtriActivity3D,TANet,SaliencyTubes,40,A041_P082_G001_C007.mp4,-0.03960127507126486,-0.12529431580859687,0.039601275071264916,10,100,777
EtriActivity3D,TANet,AOSA,40,A041_P082_G001_C007.mp4,-0.13520439546754687,-0.12529431580859687,0.13520439546754692,10,100,777
EtriActivity3D,TANet,GradCAM,40,A041_P082_G001_C007.mp4,-0.1987934553682978,-0.12529431580859687,0.19879345536829776,10,100,777
EtriActivity3D,TANet,3D-Kernel-SHAP-NEW,41,A042_P020_G003_C006.mp4,0.2898581588497073,0.009522432789519903,-0.2898581588497073,10,100,777
EtriActivity3D,TANet,3D-LIME-NEW,41,A042_P020_G003_C006.mp4,0.35923828221069737,0.009522432789519903,-0.3592382822106973,10,100,777
EtriActivity3D,TANet,3D-RISE-NEW,41,A042_P020_G003_C006.mp4,0.27272510193472943,0.13747083154359682,-0.27272510193472943,10,100,777
EtriActivity3D,TANet,3D-Sampled-Occl-Sens-NEW,41,A042_P020_G003_C006.mp4,-0.11847018517427901,0.13747083154359682,0.118470185174279,10,100,777
EtriActivity3D,TANet,LV-LOCO-NEW,41,A042_P020_G003_C006.mp4,0.30117223916674746,0.009522432789519903,-0.30117223916674746,10,100,777
EtriActivity3D,TANet,LV-Univ-Pred-NEW,41,A042_P020_G003_C006.mp4,0.2024434382427555,0.009522432789519903,-0.2024434382427556,10,100,777
EtriActivity3D,TANet,SaliencyTubes,41,A042_P020_G003_C006.mp4,-0.024958311094147746,0.13747083154359682,0.024958311094147742,10,100,777
