metric,Dataset,method,method_display,N,mean,std,median,q25,q75,IQR,direction
insertion_auc,EtriActivity3D,3D-Kernel-SHAP-NEW,3D-Kernel-SHAP,30,0.882025809524968,0.13061223689714532,0.9502349141408117,0.8068435345881567,0.9735919766012742,0.16674844201311745,higher
insertion_auc,EtriActivity3D,3D-LIME-NEW,3D-LIME,30,0.9012353169211849,0.1385121476338114,0.951827639550909,0.889350389941205,0.9708772767420767,0.08152688680087172,higher
insertion_auc,EtriActivity3D,3D-RISE-NEW,3D-RISE,30,0.8007787592633498,0.21077921677152472,0.8814706255880254,0.7875914367792347,0.9343863723406738,0.14679493556143908,higher
insertion_auc,EtriActivity3D,3D-Sampled-Occl-Sens-NEW,3D-Sampled-Occl-Sens,30,0.6536646603828615,0.24837931655438186,0.6584723888358963,0.5285740672698297,0.8739741354725062,0.34540006820267655,higher
insertion_auc,EtriActivity3D,AOSA,AOSA,30,0.6790195798065853,0.29484203324414765,0.7825023046348332,0.528614853149443,0.933084631790398,0.404469778640955,higher
insertion_auc,EtriActivity3D,GradCAM,GradCAM,30,0.6253375328579069,0.2069939023322859,0.6443272882693469,0.4533569269233665,0.7717520282308621,0.3183951013074956,higher
insertion_auc,EtriActivity3D,LV-LOCO-NEW,LV-LOCO,30,0.797191319217723,0.1775007145650963,0.8683112444091935,0.6997717332739406,0.9397623847510692,0.2399906514771286,higher
insertion_auc,EtriActivity3D,LV-Univ-Pred-NEW,LV-Univ-Pred,30,0.5838700735928725,0.2666104624160377,0.5346883076966098,0.35015271569228373,0.8324277428890833,0.48227502719679954,higher
insertion_auc,EtriActivity3D,SaliencyTubes,SaliencyTubes,30,0.7250558545441158,0.19045438428315564,0.7592189348408964,0.6659376626119567,0.8838459270776251,0.21790826446566836,higher
insertion_auc,Kinetics400,3D-Kernel-SHAP-NEW,3D-Kernel-SHAP,30,0.5383306641755394,0.22175651194132448,0.570343941933465,0.38433108839863894,0.6912622040280687,0.30693111562942976,higher
insertion_auc,Kinetics400,3D-LIME-NEW,3D-LIME,30,0.629100407984067,0.20556786242739408,0.6426390447132195,0.49383997285351366,0.7943437202530953,0.30050374739958163,higher
insertion_auc,Kinetics400,3D-RISE-NEW,3D-RISE,30,0.6394432728426438,0.20687192619357642,0.6479284607843344,0.5715158468686241,0.7953207850842205,0.22380493821559644,higher
insertion_auc,Kinetics400,3D-Sampled-Occl-Sens-NEW,3D-Sampled-Occl-Sens,30,0.5187359651683897,0.17452986259793773,0.5519987517164312,0.3894437054958501,0.6163323174367542,0.2268886119409041,higher
insertion_auc,Kinetics400,AOSA,AOSA,30,0.5707656615778284,0.2489061675931882,0.6260455620289546,0.37482203288164695,0.7796591497270251,0.40483711684537815,higher
insertion_auc,Kinetics400,GradCAM,GradCAM,30,0.6028393268095278,0.22141552770990652,0.6521842089899738,0.45194420369603105,0.7812813469332083,0.3293371432371772,higher
insertion_auc,Kinetics400,LV-LOCO-NEW,LV-LOCO,30,0.48644240145418594,0.2102716559801283,0.4682387091177908,0.32279160175109234,0.6722788830519433,0.34948728130085094,higher
insertion_auc,Kinetics400,LV-Univ-Pred-NEW,LV-Univ-Pred,30,0.3859197775434657,0.20733795356118265,0.3462445704098138,0.2647143988710522,0.43971695229783175,0.17500255342677956,higher
insertion_auc,Kinetics400,SaliencyTubes,SaliencyTubes,30,0.6072330357593446,0.2232330397459353,0.6661859285071254,0.47707430983936117,0.7871390420693013,0.31006473222994013,higher
insertion_auc,Overall,3D-Kernel-SHAP-NEW,3D-Kernel-SHAP,60,0.7101782368502537,0.2501770558619546,0.7616088868561488,0.5521859507167647,0.9487271690322948,0.39654121831553013,higher
